112,130 C,#f7a700
113,130 U,#fc992e
114,131,#c6930a
115,131 C,#d08900
116,131 U,#be7e33
117,132,#9e7c0a
118,132 C,#a37300
119,132 U,#99793d
120,133,#705b0a
121,133 C,#6e561b
122,133 U,#7c6f46
123,134,#ffd87f
124,134 C,#ffd16c
125,134 U,#ffd276
126,1345,#ffd691
127,1345 C,#fecf84
128,1345 U,#ffd490
129,135,#fcc963
130,135 C,#ffc556
131,135 U,#ffc265
132,1355,#fcce87
133,1355 C,#ffc56c
134,1355 U,#ffc87e
135,136,#fcbf49
136,136 C,#ffbf3b
137,136 U,#ffac48
138,1365,#fcba5e
139,1365 C,#ffb546
140,1365 U,#ffac5a
141,137,#fca311
142,137 C,#ffa300
143,137 U,#ffa035
144,1375,#f99b0c
145,1375 C,#ff9e15
146,1375 U,#ff993e
147,138,#d88c02
148,138 C,#e17c00
149,138 U,#d57b2f
150,1385,#cc7a02
151,1385 C,#d87800
152,1385 U,#cf7d3d
153,139,#af7505
154,139 C,#b26d00
155,139 U,#9e6e3c
156,1395,#996007
157,1395 C,#9c5f15
158,1395 U,#956d42
159,140,#7a5b11
160,140 C,#755319
161,140 U,#806944
162,1405,#6b4714
163,1405 C,#704b1c
164,1405 U,#7a6446
165,141,#f2ce68
166,141 C,#f6c55b
167,141 U,#fbbf6d
168,142,#f2bf49
169,142 C,#f5bd47
170,142 U,#fbae5c
171,143,#efb22d
172,143 C,#f6b333
173,143 U,#fb9e4e
174,144,#e28c05
175,144 C,#f38a00
176,144 U,#f78a3b
177,145,#c67f07
178,145 C,#d57e00
179,145 U,#cc7d38
180,146,#9e6b05
181,146 C,#ab6b0e
182,146 U,#9e7340
183,147,#725e26
184,147 C,#735b28
185,147 U,#776849
186,148,#ffd69b
187,148 C,#ffcb8a
188,148 U,#ffc586
189,1485,#ffb777
190,1485 C,#ffad5e
191,1485 U,#ffa660
192,149,#fccc93
193,149 C,#ffc27a
194,149 U,#ffb573
195,1495,#ff993f
196,1495 C,#ff8f12
197,1495 U,#ff934e
198,150,#fcad56
199,150 C,#ffb258
200,150 U,#ff9954
201,1505,#f47c00
202,1505 C,#ff6a00
203,1505 U,#ff8135
204,151,#f77f00
205,151 C,#ff8300
206,151 U,#ff873b
207,152,#dd7500
208,152 C,#e97200
209,152 U,#e3793d
210,1525,#b55400
211,1525 C,#bd4600
212,1525 U,#be6437
213,153,#bc6d0a
214,153 C,#c16a10
215,153 U,#ad6e41
216,1535,#8c4400
217,1535 C,#974508
218,1535 U,#976240
219,154,#995905
220,154 C,#9e5916
221,154 U,#926743
222,1545,#4c280f
223,1545 C,#683816
224,1545 U,#7b5e48
225,155,#f4dbaa
226,155 C,#f3d09e
227,155 U,#fac895
228,1555,#f9bf9e
229,1555 C,#ffb98d
230,1555 U,#ffc29c
231,156,#f2c68c
232,156 C,#f2bc7b
233,156 U,#fbb883
234,1565,#fca577
235,1565 C,#ffa167
236,1565 U,#ffaa81
237,157,#eda04f
238,157 C,#f19f53
239,157 U,#f69462
240,1575,#fc8744
241,1575 C,#ff7e2e
242,1575 U,#ff9562
243,158,#e87511
244,158 C,#ef7521
245,158 U,#f37d4a
246,1585,#f96b07
247,1585 C,#ff6b0b
248,1585 U,#ff844e
249,159,#c66005
250,159 C,#d25d12
251,159 U,#cd6f46
